emp_id,leave_type,leave_applied_date,leave_start_date,leave_end_date,leave_days,status
1,Casual Leave,2023-10-13,2023-10-22,2023-10-24,3,Approved
1,Casual Leave,2023-04-12,2023-04-18,2023-04-20,3,Rejected
1,Sick Leave,2022-11-20,2022-11-27,2022-11-29,3,Approved
1,Casual Leave,2023-01-28,2023-02-02,2023-02-03,2,Approved
2,Casual Leave,2022-12-13,2022-12-19,2022-12-21,3,Approved
2,Casual Leave,2022-01-11,2022-01-20,2022-01-21,2,Approved
2,Earn Leave,2023-05-16,2023-05-24,2023-05-25,2,Approved
2,Earn Leave,2023-12-08,2023-12-16,2023-12-17,2,Approved
2,Casual Leave,2023-03-20,2023-03-25,2023-03-26,2,Approved
3,Casual Leave,2022-03-21,2022-03-27,2022-03-28,2,Approved
3,Earn Leave,2022-03-30,2022-04-07,2022-04-08,2,Approved
3,Casual Leave,2023-03-01,2023-03-09,2023-03-11,3,Approved
3,Casual Leave,2022-01-20,2022-01-29,2022-01-31,3,Rejected
3,Sick Leave,2022-10-14,2022-10-21,2022-10-24,4,Approved
3,Earn Leave,2023-11-04,2023-11-11,2023-11-14,4,Approved
3,Earn Leave,2023-08-15,2023-08-20,2023-08-21,2,Approved
3,Earn Leave,2023-11-01,2023-11-07,2023-11-08,2,Approved
3,Casual Leave,2022-12-14,2022-12-20,2022-12-22,3,Approved
4,Sick Leave,2023-02-07,2023-02-16,2023-02-19,4,Approved
4,Earn Leave,2023-03-12,2023-03-18,2023-03-20,3,Approved
4,Casual Leave,2023-12-17,2023-12-24,2023-12-26,3,Approved
4,Sick Leave,2022-03-12,2022-03-19,2022-03-20,2,Approved
4,Casual Leave,2022-04-29,2022-05-08,2022-05-09,2,Approved
4,Casual Leave,2023-06-06,2023-06-11,2023-06-12,2,Approved
4,Casual Leave,2023-07-24,2023-08-02,2023-08-03,2,Rejected
4,Earn Leave,2022-06-16,2022-06-23,2022-06-26,4,Approved
4,Casual Leave,2022-06-22,2022-06-27,2022-06-30,4,Approved
5,Sick Leave,2022-07-31,2022-08-05,2022-08-07,3,Approved
5,Casual Leave,2022-02-27,2022-03-04,2022-03-07,4,Rejected
5,Earn Leave,2022-12-06,2022-12-12,2022-12-14,3,Approved
5,Earn Leave,2023-01-07,2023-01-12,2023-01-13,2,Approved
5,Sick Leave,2022-10-19,2022-10-28,2022-10-30,3,Approved
5,Earn Leave,2023-12-05,2023-12-14,2023-12-15,2,Approved
6,Casual Leave,2023-02-07,2023-02-15,2023-02-16,2,Approved
6,Casual Leave,2023-08-25,2023-09-01,2023-09-04,4,Approved
6,Casual Leave,2023-10-28,2023-11-06,2023-11-07,2,Approved
6,Casual Leave,2022-09-19,2022-09-25,2022-09-27,3,Approved
6,Earn Leave,2022-02-03,2022-02-09,2022-02-11,3,Approved
6,Casual Leave,2022-03-13,2022-03-21,2022-03-23,3,Rejected
6,Earn Leave,2023-06-27,2023-07-06,2023-07-08,3,Approved
7,Earn Leave,2023-09-29,2023-10-05,2023-10-06,2,Approved
7,Earn Leave,2022-02-06,2022-02-11,2022-02-14,4,Approved
7,Casual Leave,2022-08-25,2022-08-31,2022-09-02,3,Approved
7,Sick Leave,2023-03-28,2023-04-06,2023-04-08,3,Approved
8,Casual Leave,2022-01-05,2022-01-13,2022-01-15,3,Rejected
8,Sick Leave,2023-02-22,2023-02-27,2023-03-01,3,Rejected
8,Earn Leave,2023-11-08,2023-11-16,2023-11-17,2,Approved
8,Earn Leave,2022-05-23,2022-05-29,2022-05-30,2,Approved
9,Earn Leave,2022-10-11,2022-10-17,2022-10-18,2,Approved
9,Casual Leave,2023-02-21,2023-02-26,2023-03-01,4,Approved
9,Sick Leave,2022-05-07,2022-05-16,2022-05-17,2,Approved
9,Casual Leave,2022-09-18,2022-09-24,2022-09-26,3,Approved
9,Casual Leave,2022-08-20,2022-08-27,2022-08-29,3,Approved
9,Casual Leave,2022-04-02,2022-04-11,2022-04-12,2,Approved
10,Earn Leave,2023-04-18,2023-04-27,2023-04-30,4,Approved
10,Casual Leave,2023-06-23,2023-06-30,2023-07-03,4,Rejected
10,Casual Leave,2022-01-20,2022-01-26,2022-01-27,2,Approved
10,Earn Leave,2022-02-22,2022-03-03,2022-03-05,3,Approved
10,Casual Leave,2023-08-22,2023-08-31,2023-09-02,3,Rejected
11,Earn Leave,2023-10-10,2023-10-17,2023-10-18,2,Approved
11,Casual Leave,2023-10-12,2023-10-19,2023-10-21,3,Approved
11,Earn Leave,2022-04-16,2022-04-24,2022-04-27,4,Approved
11,Casual Leave,2023-04-09,2023-04-17,2023-04-18,2,Approved
11,Earn Leave,2022-06-03,2022-06-11,2022-06-12,2,Approved
11,Earn Leave,2023-02-18,2023-02-23,2023-02-26,4,Approved
11,Casual Leave,2022-02-15,2022-02-23,2022-02-25,3,Approved
11,Casual Leave,2022-10-16,2022-10-23,2022-10-24,2,Approved
11,Casual Leave,2022-09-25,2022-10-02,2022-10-05,4,Approved
12,Earn Leave,2023-05-16,2023-05-22,2023-05-25,4,Approved
12,Casual Leave,2022-06-29,2022-07-08,2022-07-10,3,Approved
12,Earn Leave,2022-01-27,2022-02-02,2022-02-04,3,Approved
12,Casual Leave,2022-05-14,2022-05-22,2022-05-23,2,Approved
12,Earn Leave,2023-11-17,2023-11-26,2023-11-29,4,Approved
12,Casual Leave,2023-07-21,2023-07-30,2023-08-02,4,Approved
12,Sick Leave,2022-02-28,2022-03-06,2022-03-09,4,Approved
12,Casual Leave,2022-10-28,2022-11-06,2022-11-08,3,Approved
12,Casual Leave,2022-05-21,2022-05-29,2022-05-31,3,Approved
12,Earn Leave,2022-12-29,2023-01-07,2023-01-09,3,Approved
13,Earn Leave,2023-09-30,2023-10-06,2023-10-08,3,Approved
13,Casual Leave,2023-02-18,2023-02-25,2023-02-28,4,Approved
14,Casual Leave,2023-04-24,2023-04-30,2023-05-01,2,Approved
14,Earn Leave,2023-03-04,2023-03-10,2023-03-11,2,Approved
14,Casual Leave,2023-04-22,2023-04-29,2023-05-02,4,Approved
14,Earn Leave,2023-10-09,2023-10-15,2023-10-17,3,Approved
15,Casual Leave,2022-11-11,2022-11-17,2022-11-19,3,Approved
15,Casual Leave,2023-03-29,2023-04-07,2023-04-10,4,Approved
15,Earn Leave,2022-07-22,2022-07-31,2022-08-02,3,Approved
15,Earn Leave,2022-12-23,2022-12-30,2022-12-31,2,Rejected
15,Casual Leave,2022-12-23,2022-12-28,2022-12-30,3,Approved
15,Casual Leave,2023-05-26,2023-06-04,2023-06-05,2,Approved
15,Earn Leave,2023-05-22,2023-05-28,2023-05-30,3,Approved
15,Earn Leave,2023-10-28,2023-11-06,2023-11-08,3,Approved
16,Casual Leave,2022-04-17,2022-04-26,2022-04-29,4,Approved
16,Casual Leave,2022-03-28,2022-04-06,2022-04-09,4,Approved
16,Casual Leave,2022-10-27,2022-11-05,2022-11-08,4,Approved
16,Casual Leave,2022-10-14,2022-10-19,2022-10-21,3,Approved
