ORDER_KEY,CUST_KEY,ORDER_STATUS,TOTAL_PRICE,ORDER_DATE,ORDER_PRIORITY,CLERK,SHIP_PRIORITY
3000674,2722,O,89206.28,1998-07-20,5-LOW,Clerk#000000102,0
3057958,2671,O,96960.20,1998-04-28,1-URGENT,Clerk#000000226,0
3103558,2671,F,80356.33,1992-11-11,5-LOW,Clerk#000000015,0
3105734,2671,O,190539.20,1995-10-11,2-HIGH,Clerk#000000189,0
3177571,2590,O,160364.84,1996-08-21,3-MEDIUM,Clerk#000000456,0
3217222,2671,F,11019.68,1992-09-14,2-HIGH,Clerk#000000422,0
3326913,2722,F,109672.50,1994-02-04,3-MEDIUM,Clerk#000000353,0
3347648,2722,F,122468.07,1993-10-14,3-MEDIUM,Clerk#000000395,0
3521700,2722,O,187231.46,1995-08-16,1-URGENT,Clerk#000000601,0
3532134,2699,F,200572.65,1995-02-06,3-MEDIUM,Clerk#000000409,0
3555779,2815,F,149841.96,1992-06-10,1-URGENT,Clerk#000000975,0
27810,2821,F,163374.21,1993-01-29,2-HIGH,Clerk#000000595,0
118656,2821,F,114022.66,1993-10-27,4-NOT SPECIFIED,Clerk#000000912,0
159911,2590,O,108712.38,1995-08-14,1-URGENT,Clerk#000000375,0
182468,2815,F,66264.84,1995-01-17,1-URGENT,Clerk#000000539,0
182852,2821,F,150900.23,1993-11-22,5-LOW,Clerk#000000986,0
204038,2671,O,193143.35,1996-08-16,5-LOW,Clerk#000000663,0
230310,2590,F,123470.75,1994-04-26,1-URGENT,Clerk#000000702,0
257381,2815,F,66506.54,1993-05-11,5-LOW,Clerk#000000771,0
269415,2722,O,170386.65,1997-09-25,5-LOW,Clerk#000000142,0
374852,2722,F,325533.74,1993-06-27,1-URGENT,Clerk#000000818,0
469409,2590,O,87198.98,1997-02-13,3-MEDIUM,Clerk#000000032,0
511969,2722,F,139453.26,1994-07-14,3-MEDIUM,Clerk#000000436,0
536004,2590,P,276969.55,1995-05-09,1-URGENT,Clerk#000000010,0
1806147,2671,F,308664.62,1993-04-15,4-NOT SPECIFIED,Clerk#000000303,0
1832678,2671,F,165654.96,1992-10-28,4-NOT SPECIFIED,Clerk#000000126,0
1840674,2590,O,270175.72,1998-05-07,1-URGENT,Clerk#000000329,0
1847526,2821,F,136088.66,1992-03-14,3-MEDIUM,Clerk#000000274,0
1865635,2722,F,227377.93,1992-12-08,1-URGENT,Clerk#000000186,0
1885222,2722,F,47791.21,1994-02-10,1-URGENT,Clerk#000000184,0
1894016,2821,O,22287.63,1998-03-21,5-LOW,Clerk#000000060,0
1946340,2821,F,250506.30,1994-04-28,1-URGENT,Clerk#000000730,0
1956262,2722,F,142588.93,1993-12-06,2-HIGH,Clerk#000000321,0
2035074,2821,F,84506.31,1992-05-16,1-URGENT,Clerk#000000112,0
2136003,2821,O,255995.31,1996-04-14,1-URGENT,Clerk#000000144,0
2171776,2699,O,26124.69,1995-11-06,2-HIGH,Clerk#000000184,0
2184772,2590,O,139436.03,1997-03-16,3-MEDIUM,Clerk#000000598,0
2217988,2590,F,297699.99,1994-11-16,2-HIGH,Clerk#000000855,0
2250374,2815,O,239149.40,1997-05-15,1-URGENT,Clerk#000000264,0
650528,2722,F,7024.35,1994-10-26,5-LOW,Clerk#000000134,0
795297,2671,O,224096.76,1996-12-21,3-MEDIUM,Clerk#000000025,0
822912,2671,F,35130.43,1994-02-04,5-LOW,Clerk#000000273,0
866976,2671,O,16702.99,1996-03-02,4-NOT SPECIFIED,Clerk#000000127,0
909283,2590,O,313797.89,1998-07-02,5-LOW,Clerk#000000785,0
940229,2671,F,167322.96,1995-03-03,3-MEDIUM,Clerk#000000736,0
991683,2671,F,79070.29,1992-07-08,3-MEDIUM,Clerk#000000671,0
1004261,2671,F,242853.39,1993-01-05,2-HIGH,Clerk#000000629,0
1015527,2590,F,205106.55,1994-10-14,2-HIGH,Clerk#000000034,0
1083460,2699,F,178162.55,1993-04-11,3-MEDIUM,Clerk#000000584,0
1102018,2722,F,56798.10,1995-01-05,1-URGENT,Clerk#000000094,0
1130720,2815,O,147641.98,1996-09-06,4-NOT SPECIFIED,Clerk#000000181,0
4856229,2722,F,101436.61,1993-04-15,5-LOW,Clerk#000000951,0
4881831,2821,F,228162.10,1992-08-02,2-HIGH,Clerk#000000223,0
4910018,2590,F,294475.55,1994-09-14,3-MEDIUM,Clerk#000000734,0
4983975,2821,O,165052.91,1997-03-21,4-NOT SPECIFIED,Clerk#000000285,0
5194406,2722,F,215360.84,1993-03-24,2-HIGH,Clerk#000000508,0
5196931,2821,O,41823.98,1996-10-02,5-LOW,Clerk#000000522,0
5306051,2590,F,64898.63,1992-01-04,1-URGENT,Clerk#000000798,0
5351686,2590,F,135592.96,1993-04-19,1-URGENT,Clerk#000000427,0
5584966,2821,O,113718.32,1998-07-02,1-URGENT,Clerk#000000090,0
5613030,2815,O,25805.62,1996-04-10,1-URGENT,Clerk#000000293,0
5727138,2671,O,207265.41,1996-06-23,2-HIGH,Clerk#000000865,0
5794180,2815,F,108629.43,1992-12-28,3-MEDIUM,Clerk#000000735,0
5798209,2722,O,161674.87,1998-06-25,3-MEDIUM,Clerk#000000266,0
5882789,2815,O,100208.24,1997-12-02,1-URGENT,Clerk#000000245,0
5912679,2722,F,90701.45,1993-11-09,5-LOW,Clerk#000000982,0
5985281,2821,F,283705.87,1994-05-18,4-NOT SPECIFIED,Clerk#000000047,0
2494119,2821,F,148451.28,1993-12-13,1-URGENT,Clerk#000000411,0
2568864,2821,O,113552.72,1996-08-25,5-LOW,Clerk#000000905,0
2572322,2821,F,15013.78,1995-01-06,1-URGENT,Clerk#000000263,0
2591174,2722,F,239784.67,1994-10-31,2-HIGH,Clerk#000000947,0
2597094,2671,O,111183.36,1997-08-21,5-LOW,Clerk#000000298,0
2680743,2722,O,204036.24,1998-05-14,5-LOW,Clerk#000000937,0
2696484,2722,F,266730.00,1994-08-04,1-URGENT,Clerk#000000008,0
2703621,2590,F,152872.58,1993-06-14,1-URGENT,Clerk#000000911,0
2708900,2590,F,38854.22,1994-01-12,2-HIGH,Clerk#000000086,0
2762054,2722,O,236402.36,1997-02-25,2-HIGH,Clerk#000000784,0
2837956,2722,F,91074.00,1994-11-14,2-HIGH,Clerk#000000919,0
2880294,2821,O,232029.73,1995-12-11,2-HIGH,Clerk#000000368,0
2953157,2590,F,70049.88,1995-02-11,4-NOT SPECIFIED,Clerk#000000942,0
2971491,2815,F,319660.07,1993-10-08,2-HIGH,Clerk#000000108,0
2983172,2722,O,104339.53,1995-10-25,1-URGENT,Clerk#000000507,0
1223810,2699,O,14595.14,1997-04-06,3-MEDIUM,Clerk#000000772,0
1235559,2815,O,125723.78,1997-07-22,4-NOT SPECIFIED,Clerk#000000015,0
1332578,2699,F,76750.79,1995-02-06,2-HIGH,Clerk#000000143,0
1335365,2671,O,258684.95,1998-04-10,1-URGENT,Clerk#000000881,0
1393894,2671,O,75406.36,1998-05-23,1-URGENT,Clerk#000000282,0
1443746,2590,P,147538.92,1995-05-02,3-MEDIUM,Clerk#000000428,0
1451909,2815,O,140942.88,1996-07-17,3-MEDIUM,Clerk#000000592,0
1522279,2590,O,3596.04,1998-07-13,3-MEDIUM,Clerk#000000062,0
1594082,2699,O,90672.44,1997-09-16,2-HIGH,Clerk#000000347,0
1611045,2590,F,222166.57,1993-06-17,1-URGENT,Clerk#000000304,0
1658277,2722,F,294014.05,1992-11-24,1-URGENT,Clerk#000000114,0
1760288,2699,O,203114.96,1996-05-04,4-NOT SPECIFIED,Clerk#000000224,0
3630496,2821,O,219923.05,1998-06-19,3-MEDIUM,Clerk#000000072,0
3646531,2671,O,7586.87,1995-12-23,1-URGENT,Clerk#000000386,0
3679363,2671,F,65360.45,1992-12-18,5-LOW,Clerk#000000329,0
3682563,2671,F,9080.30,1993-02-08,4-NOT SPECIFIED,Clerk#000000504,0
3689543,2590,O,219899.81,1995-06-08,5-LOW,Clerk#000000696,0
3784518,2671,O,292687.08,1997-03-02,1-URGENT,Clerk#000000031,0
3810944,2590,F,78751.02,1992-06-07,4-NOT SPECIFIED,Clerk#000000434,0
3864358,2699,F,222158.20,1992-10-08,2-HIGH,Clerk#000000914,0
3903361,2722,F,41504.43,1994-07-06,5-LOW,Clerk#000000679,0
4263808,2671,O,309305.15,1997-10-18,5-LOW,Clerk#000000560,0
4267106,2821,F,39165.66,1992-03-04,2-HIGH,Clerk#000000429,0
4406374,2671,F,78493.97,1993-05-31,3-MEDIUM,Clerk#000000793,0
4580005,2699,F,125398.42,1994-08-07,1-URGENT,Clerk#000000379,0
4626209,2722,O,153974.28,1997-01-07,5-LOW,Clerk#000000433,0
4703681,2815,O,28218.78,1995-12-26,4-NOT SPECIFIED,Clerk#000000219,0
4735808,2821,O,186978.88,1996-02-29,4-NOT SPECIFIED,Clerk#000000937,0
