ORDER_KEY,CUST_KEY,ORDER_STATUS,TOTAL_PRICE,ORDER_DATE,ORDER_PRIORITY,CLERK,SHIP_PRIORITY
1235617,2666,O,106139.47,1997-01-09,3-MEDIUM,Clerk#000000066,0
1328963,2666,O,215523.65,1996-06-02,4-NOT SPECIFIED,Clerk#000000118,0
1329638,2486,F,279284.32,1992-09-04,3-MEDIUM,Clerk#000000350,0
1582151,2579,O,206997.50,1995-09-06,3-MEDIUM,Clerk#000000458,0
1690339,2579,O,169329.62,1996-08-06,2-HIGH,Clerk#000000117,0
1727106,2486,F,290382.58,1992-11-26,5-LOW,Clerk#000000659,0
4952546,2615,O,216512.53,1997-07-24,4-NOT SPECIFIED,Clerk#000000420,0
4962532,2615,F,149728.43,1992-03-21,3-MEDIUM,Clerk#000000170,0
4979364,2666,F,145905.57,1994-03-24,5-LOW,Clerk#000000377,0
5035526,2654,O,205543.49,1995-10-09,3-MEDIUM,Clerk#000000198,0
5041925,2516,O,248463.31,1996-11-27,4-NOT SPECIFIED,Clerk#000000783,0
5055105,2486,F,138530.14,1994-11-05,5-LOW,Clerk#000000134,0
5132999,2516,O,73570.43,1996-06-21,5-LOW,Clerk#000000452,0
5195972,2615,F,5538.57,1993-08-22,3-MEDIUM,Clerk#000000996,0
5374784,2666,O,103637.19,1995-12-02,1-URGENT,Clerk#000000171,0
3035941,2579,F,146552.49,1993-10-25,5-LOW,Clerk#000000075,0
3081284,2516,O,32769.76,1998-03-26,1-URGENT,Clerk#000000165,0
3314721,2516,F,74338.98,1995-04-09,1-URGENT,Clerk#000000278,0
3350784,2579,O,417410.45,1996-08-29,3-MEDIUM,Clerk#000000798,0
3471045,2579,O,230676.02,1996-06-08,2-HIGH,Clerk#000000240,0
3692838,2486,O,71567.62,1996-12-22,5-LOW,Clerk#000000762,0
3694599,2516,F,178618.58,1994-11-23,4-NOT SPECIFIED,Clerk#000000290,0
3774592,2486,F,86788.73,1992-10-03,4-NOT SPECIFIED,Clerk#000000678,0
3782338,2579,O,51966.70,1996-07-15,5-LOW,Clerk#000000425,0
3918311,2615,O,77642.44,1995-08-10,1-URGENT,Clerk#000000830,0
4188870,2516,O,161429.75,1997-12-06,2-HIGH,Clerk#000000268,0
613184,2654,O,51296.04,1997-11-28,1-URGENT,Clerk#000000053,0
656837,2516,O,270100.94,1996-05-18,5-LOW,Clerk#000000494,0
740673,2615,F,69772.99,1992-11-19,4-NOT SPECIFIED,Clerk#000000214,0
822212,2579,F,14269.42,1993-09-25,4-NOT SPECIFIED,Clerk#000000261,0
943813,2516,F,140099.53,1994-09-09,2-HIGH,Clerk#000000269,0
989671,2615,O,87934.78,1995-10-02,2-HIGH,Clerk#000000573,0
1148548,2516,O,118024.92,1997-11-24,5-LOW,Clerk#000000267,0
1191460,2486,O,79595.69,1997-10-31,1-URGENT,Clerk#000000463,0
2713669,2615,F,239185.45,1993-06-09,1-URGENT,Clerk#000000863,0
2732449,2666,O,334140.39,1996-05-19,5-LOW,Clerk#000000696,0
2807299,2579,O,177316.85,1997-07-12,2-HIGH,Clerk#000000075,0
108417,2486,F,210556.30,1995-02-27,3-MEDIUM,Clerk#000000009,0
123270,2666,O,35463.29,1995-09-15,4-NOT SPECIFIED,Clerk#000000757,0
129444,2579,O,231697.47,1997-02-04,2-HIGH,Clerk#000000230,0
247750,2666,O,108053.58,1996-01-03,2-HIGH,Clerk#000000543,0
276897,2615,O,173157.06,1997-05-27,5-LOW,Clerk#000000212,0
446599,2654,F,238440.78,1992-04-15,4-NOT SPECIFIED,Clerk#000000525,0
503078,2615,F,321118.32,1994-01-19,1-URGENT,Clerk#000000121,0
4243942,2654,F,233580.67,1994-01-31,3-MEDIUM,Clerk#000000907,0
4415714,2486,F,98412.84,1992-10-30,3-MEDIUM,Clerk#000000183,0
4463175,2516,O,102810.85,1995-10-05,1-URGENT,Clerk#000000247,0
4521765,2654,F,308899.38,1993-04-17,5-LOW,Clerk#000000556,0
4768259,2516,F,106298.95,1992-12-10,5-LOW,Clerk#000000535,0
1818982,2666,O,113321.85,1997-11-22,1-URGENT,Clerk#000000728,0
1820864,2486,F,217791.26,1995-02-21,4-NOT SPECIFIED,Clerk#000000876,0
1984324,2666,F,34600.19,1995-04-13,2-HIGH,Clerk#000000139,0
2290564,2486,O,145293.62,1996-05-11,1-URGENT,Clerk#000000669,0
2314822,2486,O,324645.04,1995-09-15,5-LOW,Clerk#000000669,0
5664353,2516,O,188774.00,1997-10-10,4-NOT SPECIFIED,Clerk#000000711,0
5721313,2654,O,207765.92,1997-02-05,1-URGENT,Clerk#000000248,0
5824420,2615,O,18745.33,1995-06-07,2-HIGH,Clerk#000000223,0
5866598,2654,O,222746.26,1997-04-10,2-HIGH,Clerk#000000424,0
