ORDER_KEY,CUST_KEY,ORDER_STATUS,TOTAL_PRICE,ORDER_DATE,ORDER_PRIORITY,CLERK,SHIP_PRIORITY
4805571,2347,O,148112.48,1996-05-27,2-HIGH,Clerk#000000806,0
4811235,680,F,118583.01,1993-11-30,5-LOW,Clerk#000000623,0
4821124,2170,O,181461.43,1997-07-16,4-NOT SPECIFIED,Clerk#000000121,0
4821379,245,F,81477.32,1995-01-21,3-MEDIUM,Clerk#000000592,0
4832068,860,O,282907.68,1995-08-03,4-NOT SPECIFIED,Clerk#000000454,0
4832934,1252,F,116203.45,1992-01-03,3-MEDIUM,Clerk#000000838,0
4836480,1468,F,71261.51,1992-11-06,3-MEDIUM,Clerk#000000341,0
4840738,1657,F,208356.59,1992-09-03,2-HIGH,Clerk#000000254,0
4845602,496,F,218326.96,1993-06-22,1-URGENT,Clerk#000000105,0
4845669,934,O,125297.03,1996-12-07,3-MEDIUM,Clerk#000000261,0
4846432,1894,O,27367.57,1997-03-29,3-MEDIUM,Clerk#000000463,0
4862951,25,F,203259.16,1995-01-27,3-MEDIUM,Clerk#000000486,0
4871173,1228,O,166801.42,1997-01-25,2-HIGH,Clerk#000000375,0
4886245,886,F,110154.68,1992-06-18,5-LOW,Clerk#000000006,0
4893127,742,O,42470.04,1995-11-25,5-LOW,Clerk#000000919,0
4897319,1618,O,167504.00,1998-05-19,4-NOT SPECIFIED,Clerk#000000810,0
4900580,938,F,19073.34,1993-07-22,1-URGENT,Clerk#000000701,0
4907078,901,O,37849.75,1997-10-07,2-HIGH,Clerk#000000185,0
4915748,563,F,174917.95,1994-03-27,3-MEDIUM,Clerk#000000858,0
4923170,1273,O,32965.28,1998-05-19,3-MEDIUM,Clerk#000000051,0
4925829,1306,O,137507.80,1998-06-27,3-MEDIUM,Clerk#000000423,0
4928259,536,O,112599.40,1995-08-17,5-LOW,Clerk#000000559,0
4930530,680,O,198071.62,1995-09-04,3-MEDIUM,Clerk#000000253,0
4930592,1081,F,107424.64,1992-06-30,4-NOT SPECIFIED,Clerk#000000316,0
4931781,1618,F,283966.46,1994-08-25,2-HIGH,Clerk#000000026,0
4935045,1006,F,38157.33,1992-09-30,5-LOW,Clerk#000000518,0
4936257,799,O,285636.59,1998-01-25,3-MEDIUM,Clerk#000000408,0
4937412,1228,F,11311.87,1994-08-27,5-LOW,Clerk#000000929,0
4938022,1006,O,92781.26,1995-11-19,4-NOT SPECIFIED,Clerk#000000260,0
4942534,2074,F,17385.65,1993-07-28,5-LOW,Clerk#000000145,0
4950375,1306,F,27164.01,1994-02-26,2-HIGH,Clerk#000000230,0
4950945,563,F,43699.26,1992-02-02,2-HIGH,Clerk#000000279,0
4954951,245,O,262061.21,1997-02-22,4-NOT SPECIFIED,Clerk#000000799,0
4958403,1327,O,38820.48,1996-08-28,3-MEDIUM,Clerk#000000051,0
4960323,98,F,29607.12,1995-03-01,3-MEDIUM,Clerk#000000959,0
4960327,806,F,75468.06,1993-02-09,2-HIGH,Clerk#000000292,0
4966627,38,F,31837.62,1993-02-17,1-URGENT,Clerk#000000381,0
4966980,370,F,106695.05,1992-08-22,3-MEDIUM,Clerk#000000885,0
4968129,38,F,132003.66,1994-07-18,3-MEDIUM,Clerk#000000217,0
4988167,416,F,135393.02,1994-01-27,1-URGENT,Clerk#000000843,0
4989248,496,F,306777.89,1993-01-01,5-LOW,Clerk#000000371,0
4991235,1009,F,225845.20,1994-12-04,1-URGENT,Clerk#000000869,0
4995108,716,F,107526.82,1992-07-05,2-HIGH,Clerk#000000358,0
5003109,38,F,322359.41,1994-07-05,5-LOW,Clerk#000000813,0
5004806,245,O,87125.73,1995-12-25,3-MEDIUM,Clerk#000000294,0
5008100,496,F,40797.63,1995-02-08,5-LOW,Clerk#000000722,0
5013859,799,F,253389.27,1992-05-15,3-MEDIUM,Clerk#000000138,0
5018275,320,F,166903.64,1994-09-27,1-URGENT,Clerk#000000745,0
5034374,370,O,72852.99,1997-08-07,1-URGENT,Clerk#000000801,0
5038501,496,O,160075.20,1996-07-13,4-NOT SPECIFIED,Clerk#000000407,0
5042470,886,F,160740.13,1994-11-12,5-LOW,Clerk#000000869,0
5047014,1657,F,122902.71,1992-04-06,5-LOW,Clerk#000000816,0
5052385,25,F,125435.16,1992-07-25,1-URGENT,Clerk#000000678,0
5055623,1228,O,153544.22,1997-12-21,5-LOW,Clerk#000000836,0
5059746,1081,F,80577.30,1993-01-21,1-URGENT,Clerk#000000523,0
5074439,934,F,128494.78,1994-05-19,3-MEDIUM,Clerk#000000180,0
5075397,806,O,217196.47,1996-06-04,4-NOT SPECIFIED,Clerk#000000878,0
5100261,1009,F,157231.35,1994-06-06,4-NOT SPECIFIED,Clerk#000000710,0
5101060,536,O,37433.07,1995-08-31,1-URGENT,Clerk#000000797,0
5116963,1009,F,184487.63,1993-02-26,2-HIGH,Clerk#000000545,0
5120805,1006,O,38945.43,1996-12-29,4-NOT SPECIFIED,Clerk#000000494,0
5127236,1468,F,24690.81,1994-05-16,2-HIGH,Clerk#000000352,0
5128518,245,F,64315.29,1994-08-24,1-URGENT,Clerk#000000254,0
5131334,886,O,54550.29,1997-10-11,5-LOW,Clerk#000000162,0
5134212,2071,O,116013.85,1997-01-07,2-HIGH,Clerk#000000487,0
5143622,1481,F,327410.30,1994-10-12,3-MEDIUM,Clerk#000000196,0
5149028,806,O,219639.22,1996-06-16,5-LOW,Clerk#000000227,0
5155526,1376,O,194988.44,1997-03-29,1-URGENT,Clerk#000000332,0
5160673,472,F,91539.67,1994-12-07,5-LOW,Clerk#000000202,0
5168675,799,F,145655.32,1992-01-26,4-NOT SPECIFIED,Clerk#000000241,0
5171463,1468,F,172551.23,1994-09-20,3-MEDIUM,Clerk#000000760,0
5173218,38,O,140014.73,1996-01-23,5-LOW,Clerk#000000018,0
5176454,1228,O,347025.06,1997-02-23,1-URGENT,Clerk#000000786,0
5185985,1691,F,193311.62,1992-05-20,5-LOW,Clerk#000000450,0
5189862,469,O,320723.51,1998-03-20,5-LOW,Clerk#000000713,0
5191714,2071,F,129752.20,1993-11-13,2-HIGH,Clerk#000000795,0
5192196,886,F,210941.08,1993-03-02,1-URGENT,Clerk#000000471,0
